compound_name,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
Rifampicin,Caenorhabditis elegans,N2,10 µM,45.3,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,20 µM,50.8,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,50 µM,55.8,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,50 µM,45.4,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,30 µM,56.1,,,,25720500
Fisetin,Saccharomyces cerevisiae,PSY316AT MATα,10 µM,55,,,,12939617
Fisetin,Drosophila melanogaster,Canton S,100 µm,23,,,,15254550
EUK-134,Caenorhabditis elegans,N2,0.05 mM,29,,,,10968795
EUK-134,Caenorhabditis elegans,N2,0.5 mM,38,,,,10968795
EUK-134,Caenorhabditis elegans,N2,5 mM,52,,,,10968795
EUK-134,Caenorhabditis elegans,N2,5 mM,42,,,,10968795
EUK-134,Caenorhabditis elegans,N2,0.05 mM,38,,,,10968795
EUK-134,Caenorhabditis elegans,N2,10 mM,52,,,,10968795
EUK-134,Caenorhabditis elegans,N2,0.5 mM,54,,,,10968795
EUK-134,Aeolosoma viride,,3.1 µM,48.8,,,,25190068
EUK-134,Aeolosoma viride,,12.5 µM,20.2,,,,25190068
EUK-134,Aeolosoma viride,,1.6 µM,26.4,,,,25190068
Citrate,Mytilina brevispina,,0.25% on alternate days,51.7,,,,804507
Citrate,Caenorhabditis elegans,N2,10 mM,-2,,,NS,25643626
D-glycerol,Saccharomyces cerevisiae,PSY316,1 M,49.8,,,,12391171
Glycerol,Caenorhabditis elegans,N2,1%,-36,,,,19883616
Glycerol,Caenorhabditis elegans,N2,1%,-23,,,,19883616
Glycerol,Caenorhabditis elegans,N2,1%,-24,,,,19883616
Glycerol,Brachionus manjavacas,,274 mM,51,,,,24835191
Glycerol,Caenorhabditis elegans,N2,10 mM,21,,,,25643626
Glycerol,Caenorhabditis elegans,N2,500 mM,33.55,31.58,,S,26854551
Taxifolin,Caenorhabditis elegans,N2,820 µM,51,,,,18755260
N-acetylglucosamine,Caenorhabditis elegans,N2,10 mM,50,,,,24630720
Edetate Calcium Disodium,Mytilina brevispina,,0.25% on alternate days,49.4,,,,804507
Edetate Calcium Disodium,Caenorhabditis elegans,N2,,21.4,,,,25554795
Curcumin,Drosophila melanogaster,Canton S,100 µM,19,,Female,,20645870
Curcumin,Drosophila melanogaster,Ives,250 µM,18,,Male,,20645870
Curcumin,Caenorhabditis elegans,N2,20 µM,39,,,,21855561
Curcumin,Mus musculus,UM-HET3,300 mg/kg of food,4.5,,,NS,22451473
Curcumin,Mus musculus,UM-HET3,300 mg/kg of food,2.8,,,NS,22451473
Curcumin,Drosophila melanogaster,Oregon R,1 mg/g,12.6,13,Female,,22653297
Curcumin,Drosophila melanogaster,Oregon R,1 mg/g,25.8,-5.2,Male,,22653297
Curcumin,Drosophila melanogaster,Oregon R,0.5 mg/g,6.2,-5.2,Male,NS,22653297
Curcumin,Drosophila melanogaster,Oregon R,0.5 mg/g,15.5,-1.9,Female,,22653297
Curcumin,Drosophila melanogaster,Ra,100 mM,-23.4,,Female,NS,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,-10.2,,Male,NS,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,25,20.2,,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,-17,3,Female,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,-8.2,25,Male,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,25.5,0,Female,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,49,49,Male,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,16.3,25,Male,,23063786
Curcumin,Drosophila melanogaster,Ra,10 mM,,,,NS,23063786
Curcumin,Drosophila melanogaster,Ra,200 mM,,,,,23063786
Curcumin,Drosophila melanogaster,Ra,100 mM,46.8,38,Female,,23063786
Curcumin,Drosophila melanogaster,Wild 1-A,1 mg/g,20.3,,,,23675008
Curcumin,Drosophila melanogaster,Wild 1-A,0.5 mg/g,,,Male,NS,23675008
Curcumin,Drosophila melanogaster,Canton S,50 µM,3,,Female,,25173182
Curcumin,Drosophila melanogaster,Canton S,50 µM,-1,,Male,,25173182
Curcumin,Drosophila melanogaster,Canton S,25 µM,9,,Female,,25173182
Curcumin,Drosophila melanogaster,Canton S,25 µM,4,,Male,,25173182
Curcumin,Drosophila melanogaster,Canton S,5 µM,2,,Male,,25173182
Curcumin,Drosophila melanogaster,Canton S,10 µM,19,,Male,,25173182
Curcumin,Drosophila melanogaster,Canton S,10 µM,34,,Female,,25173182
Curcumin,Drosophila melanogaster,Canton S,5 µM,6,,Female,,25173182
Curcumin,Caenorhabditis elegans,N2,100 µM,22.5,,,,25959406
Curcumin,Drosophila melanogaster,Ra,100 mM,25.5,0,Female,,26136617
Curcumin,Drosophila melanogaster,Ra,100 mM,-17,-3,Female,,26136617
Curcumin,Drosophila melanogaster,Ra,100 mM,-23.4,,Female,,26136617
Curcumin,Drosophila melanogaster,Ra,100 mM,46.8,38,Female,,26136617
Curcumin,Drosophila melanogaster,Canton-S,0.2 mg/g,3.01,4.91,Male,NS,30488487
Curcumin,Drosophila melanogaster,Canton-S,0.2 mg/g,6.74,8.77,Female,S,30488487
Acetaminophen,Caenorhabditis elegans,N2,0.10%,48.6,66,,P<0.01,22114686
Acetaminophen,Mus musculus,C57BL/6J,242 μg/mL,3.7,-11,Female,NS,4788962
Alpha-ketoglutarate,Caenorhabditis elegans,N2,8 mM,29.4,,,,24828042
Alpha-ketoglutarate,Caenorhabditis elegans,N2,100 µM,10,,,,25643626
Alpha-ketoglutarate,Caenorhabditis elegans,N2,10 mM,7,,,NS,25643626
Alpha-ketoglutarate,Caenorhabditis elegans,N2,5 mM,11,,,,25643626
Alpha-ketoglutarate,Caenorhabditis elegans,N2,1 mM,15,,,,25643626
Alpha-ketoglutarate,Caenorhabditis elegans,,8 mM,47.9,,,,26190651
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,24,29,,,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,-7,-10,,NS,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,39,33,,,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,41,23,,,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,47,57,,,15653505
Trimethadione,Caenorhabditis elegans,N2,25 µL Liposomes + 0.6mg trimethadione,,50,,,19580823
Baicalein,Caenorhabditis elegans,N2,0.001,36.7,52,,,22114686
Baicalein,Caenorhabditis elegans,N2,100 µM,45,24,,,23339711
Baicalein,Drosophila melanogaster,w1118,0.04mg/ml,8.53,5.7,,S,26778291
Baicalein,Drosophila melanogaster,w1118,0.2mg/ml,19.8,3.97,Male,<0.001,26778291
Baicalein,Drosophila melanogaster,w1118,1 mg/ml,9.32,4.66,,S,26778291
Loxapine succinate,Caenorhabditis elegans,,88 µM,43,,,,24134630
(R)-2-hydroxyglutarate,Caenorhabditis elegans,,8 mM,42.9,,,,26190651
Epicatechin,Drosophila melanogaster,Oregon R,0.01 mg/ml,1.8,,Male,NS,8326745
Epicatechin,Drosophila melanogaster,Oregon R,0.1 mg/ml,3.7,,Male,NS,8326745
Epicatechin,Drosophila melanogaster,Oregon R,1 mg/ml,7.4,,Male,NS,8326745
Epicatechin,Caenorhabditis elegans,N2,100 µM,15,11,,NS,20513639
Epicatechin,Drosophila melanogaster,Canton S,0.1 mM/l,42,,,,21525262
Epicatechin,Drosophila melanogaster,Canton S,0.3µM,-6.49,-5.22,Female,0.05,28066251
Epicatechin,Drosophila melanogaster,Canton S,0.5 µM,0,2.24,,NS,28066251
Epicatechin,Drosophila melanogaster,Canton S,1 µM,-3.78,-4.48,,S,28066251
Epicatechin,Drosophila melanogaster,Canton S,0.3µM,-9.08,-10,Male,0.05,28066251
Epicatechin,Drosophila melanogaster,Canton S,0.5 µM,6.95,3.08,,S,28066251
Epicatechin,Drosophila melanogaster,Canton S,1 µM,-11.44,-2.21,,S,28066251
Epicatechin,Drosophila melanogaster,Canton S,1 µM,7.5,,,S,28066251
Epicatechin,Drosophila melanogaster,Canton-S,1 μM,16,,,S,28066251
Ciclopirox olamine,Caenorhabditis elegans,N2,0.0001,41,52,,,22114686
4-phenylbutyrate,Drosophila melanogaster,Canton S,5 mM,40,41,,,11792861
Glyceollin I,Saccharomyces cerevisiae,,12.5 nM,40,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,100000 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,0.5 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,5 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,10 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,50 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,1 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,100 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,1250 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,25000 nM,,,,,24399048
Glyceollin I,Saccharomyces cerevisiae,,25 nM,,,,,24399048
Protocatechuic acid,Caenorhabditis elegans,N2,200 µM,38.9,40,,,23780797
Protocatechuic acid,Caenorhabditis elegans,N2,100 µM,23,25,,,23780797
Amperozide hydrochloride,Caenorhabditis elegans,,13 µM,38,,,,24134630
EUK-8,Caenorhabditis elegans,N2,10 mM,29,,,,10968795
EUK-8,Caenorhabditis elegans,N2,0.05 mM,33,,,,10968795
EUK-8,Caenorhabditis elegans,N2,5 mM,29,,,,10968795
EUK-8,Caenorhabditis elegans,N2,0.5 mM,38,,,,10968795
EUK-8,Caenorhabditis elegans,N2,5 mM,33,,,,10968795
EUK-8,Caenorhabditis elegans,N2,5 mM,-83.9,,,,12521609
EUK-8,Caenorhabditis elegans,N2,5 mM,-83.7,,,,12521609
EUK-8,Caenorhabditis elegans,N2,5 mM,-81,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,-26.5,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,-33.1,,Male,,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,-26.6,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,-21.1,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,-12.9,,Male,,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,-10.7,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,-6.1,,,,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,-5.7,,,NS,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,-0.9,,,NS,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,-0.9,,,NS,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,3,,,NS,12521609
Octoclothepin maleate,Caenorhabditis elegans,,13 µM,38,,,,24134630
Pergolide methanesulfonate,Caenorhabditis elegans,,13 µM,37,,,,24134630
Hesperidin,Saccharomyces cerevisiae,BY4741,5 µM,15.4,,,,22484922
Hesperidin,Saccharomyces cerevisiae,BY4741,10 µM,36.9,,,,22484922
Hesperidin,Saccharomyces cerevisiae,BY4741,50 µM,4.6,,,,22484922
D-xylitol,Saccharomyces cerevisiae,PSY316,1 M,36.8,,,,12391171
Doxycycline,Caenorhabditis elegans,N2,30 µg/ml,36.48,,,,23698443
Doxycycline,Caenorhabditis elegans,SJ4101,6 µg/ml,12.1,,,,23698443
Doxycycline,Caenorhabditis elegans,SJ4101,60 µg/ml,23.7,,,,23698443
Doxycycline,Caenorhabditis elegans,SJ4101,30 µg/ml,25.4,,,,23698443
Doxycycline,Caenorhabditis elegans,N2,6 µg/ml,17.6,,,,23698443
Lithium Chloride,Caenorhabditis elegans,N2,10 mM,36,,,,17959600
Lithium Chloride,Caenorhabditis elegans,JK1107 (glp-1),10 mM,11,,,,24398558
Lithium Chloride,Caenorhabditis elegans,JK1107,10 mM,0.1,0,,,24398558
Lithium Chloride,Drosophila melanogaster,Dahomey,10 mM,13,13,,S,27068460
Lithium Chloride,Drosophila melanogaster,Dahomey,25 mM,18,18,,S,27068460
Lithium Chloride,Drosophila melanogaster,Dahomey,10 mM,18.5,4,,S,27068460
Lithium Chloride,Drosophila melanogaster,Dahomey,25 mM,23,13.5,,S,27068460
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,35,37,,,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,14,-2,,,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,17,22,,,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,35,37,,,15653505
Ethosuximide,Caenorhabditis elegans,N2,2 mg/ml,13,24,,,15653505
Valproic acid,Caenorhabditis elegans,N2,6 mM,35,42,,,18248662
Staurosporine,Drosophila melanogaster,Oregon R,30-50 µM,34.8,,,,22363408
Ampicillin,Caenorhabditis elegans,fem-1(hc17),100 µg/ml,34,,,,16441844
Curare,Asplanchna brightwelli,,0.00%,-24,,,,3833547
Curare,Asplanchna brightwelli,,0.00%,26,,,,3833547
Curare,Asplanchna brightwelli,,0.00%,32,,,,3833547
Curare,Asplanchna brightwelli,,0.00%,34,,,,3833547
Dihydroergocristine methanesulfonate,Caenorhabditis elegans,,176 µM,34,,,,24134630
Sulfamethoxazole,Caenorhabditis elegans,N2,400 µM,18,0,,,24034891
Sulfamethoxazole,Caenorhabditis elegans,N2,100 µM,34,0,,,24034891
Sulfamethoxazole,Caenorhabditis elegans,N2,200 µM,28,0,,,24034891
Amoxapine,Caenorhabditis elegans,,88 µM,33,,,,24134630
Chlorprothixene hydrochloride,Caenorhabditis elegans,,13 µM,33,,,,24134630
Dimethyl formamide,Caenorhabditis elegans,N2,0.0075,33,54,,,23313473
"LY-165,163",Caenorhabditis elegans,,33 µM,33,,,,24134630
Myricetin,Caenorhabditis elegans,N2,100 µM,32.9,,,,23736695
Mianserin,Caenorhabditis elegans,N2,50 µM,31,,,,18033297
Mianserin,Caenorhabditis elegans,,50 µM,32,,,,24134630
Mianserin,Caenorhabditis elegans,N2,50 µM ,28.3,46,,,26255886
Myxothiazol,Caenorhabditis elegans,N2,10 μM,32.3,28.6,,,18221415
Promethazine hydrochloride,Caenorhabditis elegans,,176 µM,32,,,,24134630
Trehalose,Caenorhabditis elegans,N2,5 mM,32,,,,20477758
(S)-2-hydroxyglutarate,Caenorhabditis elegans,,8 mM,31.8,,,,26190651
"3,3-diethyl-2-pyrrolidinone",Caenorhabditis elegans,N2,2 mg/ml,31,49,,,15653505
"3,3-diethyl-2-pyrrolidinone",Caenorhabditis elegans,N2,2 mg/ml,31,49,,,15653505
Butein,Saccharomyces cerevisiae,PSY316AT MATα,10 µM,31,,,,12939617
Epithalamin,Mus musculus,C3H/Sn,NA,31,,,,9701766
Epithalamin,Drosophila melanogaster,,NA,16,,,,9701766
Epithalamin,Rattus norvegicus,,NA,25,,,,9701766
Epitalon,Drosophila melanogaster,Canton S,5*10^-6 %,3.2,,Female,NS,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-9 %,7.1,,Female,NS,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-6 %,3.2,,Female,NS,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-7 %,10.8,,Male,,11087911
Epitalon,Drosophila melanogaster,Canton S,5*10^-6 %,11.3,,Male,,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-7 %,11.8,,Female,,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-6 %,12.8,,Male,,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-8 %,13.4,,Female,,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-8 %,12,,Male,,11087911
Epitalon,Drosophila melanogaster,Canton S,1*10^-9 %,16.6,,Male,,11087911
Reserpine,Caenorhabditis elegans,N2,30 µM,31,,,,18409080
Reserpine,Caenorhabditis elegans,N2,60 uM,30,,,,22212533
Reserpine,Caenorhabditis elegans,N2,60 μM,25.75,,,S,27966489
Thiazolidine carboxylic acid,Drosophila melanogaster,Oregon R,0.3% wt/vol,31,,,,6821144
Thioridazine hydrochloride,Caenorhabditis elegans,,33 µM,31,,,,24134630
Trolox,Caenorhabditis elegans,N2,3 mM,31,,,,18755260
Astragalus polysaccharide,Caenorhabditis elegans,N2,50 µg/ml,7,,,,25186652
Astragalus polysaccharide,Caenorhabditis elegans,N2,400 µg/ml,19.6,,,,25186652
Astragalus polysaccharide,Caenorhabditis elegans,N2,100 µg/ml,22.8,,,,25186652
Astragalus polysaccharide,Caenorhabditis elegans,N2,200 µg/ml,20.7,,,,25186652
Astragalus polysaccharide,Caenorhabditis elegans,N2,600 µg/ml,30.8,,,,25186652
Astragalus polysaccharide,Caenorhabditis elegans,N2,200 µg/ml,24.7,,,,25186652
N-acetyl-L-cysteine,Drosophila melanogaster,Oregon R,1 mg/ml,14.1,15.1,Male,,9447249
N-acetyl-L-cysteine,Drosophila melanogaster,Oregon R,100 µg/ml,16.8,15.1,Male,,9447249
N-acetyl-L-cysteine,Drosophila melanogaster,Oregon R,10 mg/ml,26.8,24.5,Male,,9447249
N-acetyl-L-cysteine,Caenorhabditis elegans,N2,25 µL Liposomes + 100 µg NAC,,42.9,,,19580823
N-acetyl-L-cysteine,Mus musculus,UM-HET3,10 g/L of water,24,45,Male,,20819793
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,2 mM,5.2,9.5,,NS,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,1 mM,6.1,9.5,,NS,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,2 mM,27.1,23.5,,,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,5 mM,14.6,19,,NS,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,1 mM,28.1,17.6,,,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2 CGCb strain,5 mM,30.5,47.1,,,26039957
N-acetyl-L-cysteine,Caenorhabditis elegans,N2,3 mM,9.07,20,,S,27683245
N-acetyl-L-cysteine,Caenorhabditis elegans,N2,6 mM,12.53,12,,S,27683245
N-acetyl-L-cysteine,Caenorhabditis elegans,N2,9 mM,24.49,64,,S,27683245
SB203580,Drosophila melanogaster,Oregon R,300 µM,30.3,,,,22363408
Ethidium bromide,Caenorhabditis elegans,N2,5 µg/ml,30.1,,,,23698443
Cis-(Z)-Flupenthixol dihydrochloride,Caenorhabditis elegans,,33 µM,30,,,,24134630
Polydatin,Caenorhabditis elegans,N2,1 mM,30,,,,24305800
Sorbitol,Saccharomyces cerevisiae,PSY316,1 M,29.9,,,,12391171
Sorbitol,Caenorhabditis elegans,N2,2%,5,,,NS,19883616
Sorbitol,Caenorhabditis elegans,N2,2%,-2,,,NS,19883616
Sorbitol,Caenorhabditis elegans,N2,1%,17.9,,,0.001,26579191
Sorbitol,Caenorhabditis elegans,N2,2.50%,32.7,,,<0.001,26579191
Sorbitol,Caenorhabditis elegans,N2,12.50%,16,,,<0.001,26579191
Sorbitol,Caenorhabditis elegans,N2,5%,27.12,,,<0.001,26579191
Sorbitol,Caenorhabditis elegans,N2,500 mM,39.35,57.89,,S,26854551
Diiodomethane,Drosophila melanogaster,,10 µg/ml,29.3,,,,412727
Dimethyl sulfoxide,Caenorhabditis elegans,N2,0.005,29,18.6,,,20828537
Juglone,Caenorhabditis elegans,N2,40 µm,29,,,,19597959
Minocycline hydrochloride,Caenorhabditis elegans,,88 µM,29,,,,24134630
Phenformin,Mus musculus,C3H/Sn,"2 mg, 5 times a week",21,26,Female,,14618027
Phenformin,Caenorhabditis elegans,N2,4.5 mM,29,,,,23540700
Astaxanthin,Caenorhabditis elegans,N2,1 mM,28.6,21.7,,,22013497
Astaxanthin,Caenorhabditis elegans,N2,6 µg,20.8,14.6,,,22484623
Sodium hypophosphite,Zaprionus paravittiger,,1 mM,-89.8,-94.9,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,500 mM,-85.3,-78.6,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,100 mM,-58.8,-54.8,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,60 mM,-24.4,-11.2,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,500 mM,-84.1,-78.1,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,10 mM,-8.3,-1.7,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,10 mM,-4.1,-1.4,Male,NS,3721207
Sodium hypophosphite,Zaprionus paravittiger,,1 mM,-88.5,-91.4,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,1 µM,1,6,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,10 µM,13,13.3,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,100 mM,-46.9,-47.2,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,1 µM,5.3,5.7,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,100 µM,18,21,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,10 µM,13.2,12.4,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,60 mM,-24.2,-8.1,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,5 mM,23.6,21.9,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,5 mM,25.4,19.7,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,1 mM,28.1,27,Female,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,1 mM,28.5,34.3,Male,,3721207
Sodium hypophosphite,Zaprionus paravittiger,,100 µM,24.9,22.9,Male,,3721207
FCCP,Caenorhabditis elegans,N2,50 µM,27.8,21.4,,S,18221415
FCCP,Caenorhabditis elegans,N2,50 µM,17.3,21.6,,,20346071
Methylergonovine maleate,Caenorhabditis elegans,,88 µM,28,,,,24134630
Tamarixetin,Caenorhabditis elegans,,NA,28,,,,16872777
Genistein,Caenorhabditis elegans,N2,50 µM,10,,,,25593647
Genistein,Caenorhabditis elegans,N2,100 µM,27.9,,,,25593647
Trichostatin A,Drosophila melanogaster,Canton S, 10 µM,23.3,37,Male,,15346199
Trichostatin A,Drosophila melanogaster,Canton S, 10 µM,27.3,37.9,Female,,15346199
Trichostatin A,Drosophila melanogaster,Canton S,10 µmol/L,15.6,,Female,,15695762
Trichostatin A,Caenorhabditis elegans,N2,100 µM,22.1,,,,26676933
Kenpaullone,Caenorhabditis elegans,,88 µM,27,,,,24134630
PD-98059,Drosophila melanogaster,Oregon R,300-1000 µM,27,,,,22363408
Trequinsin hydrochloride,Caenorhabditis elegans,,88 µM,27,,,,24134630
Folic acid,Caenorhabditis elegans,N2,50 µM,0.2,,,NS,26546011
Folic acid,Caenorhabditis elegans,N2,25 µM,26.6,,,,26546011
Folic acid,Caenorhabditis elegans,N2,10 µM,17.1,,,,26546011
Folic acid,Caenorhabditis elegans,N2,25 µM,15,,,,26546011
Carnosine,Drosophila melanogaster,D-32,200 mg/l,24.3,,Male,,12447464
Carnosine,Drosophila melanogaster,D-32,0.2 mg/l,19.5,,Male,,12447464
Carnosine,Drosophila melanogaster,D-32,2 mg/l,26.4,,Male,,12447464
Carnosine,Drosophila melanogaster,D-32,200 mg/l,,,Female,NS,12447464
Carnosine,Drosophila melanogaster,,50 mg/l,20,,Male,,20681748
Carnosine,Caenorhabditis elegans,N2,100 µM,4,,,,25643626
Carnosine,Caenorhabditis elegans,N2,10 µM,1,,,NS,25643626
Carnosine,Caenorhabditis elegans,N2,1 mM,11,,,,25643626
Butylated hydroxytoluene,Mus musculus,BaLB/c,0.75%,15.8,,,,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,0.75%,18.7,,,,448040
Butylated hydroxytoluene,Drosophila bipectinata,,100 µM,13,,Female,,6656301
Butylated hydroxytoluene,Drosophila bipectinata,,10 µM,4.3,,Female,,6656301
Butylated hydroxytoluene,Drosophila bipectinata,,100 µM,14.3,,Male,,6656301
Butylated hydroxytoluene,Drosophila bipectinata,,1000 µM,26.1,,Female,,6656301
Butylated hydroxytoluene,Drosophila bipectinata,,10 µM,4.8,,Male,,6656301
Butylated hydroxytoluene,Drosophila bipectinata,,1000 µM,19,,Male,,6656301
D-beta-hydroxybutyrate,Caenorhabditis elegans,N2,20 mM,26,,,,25127866
Matairesinol,Caenorhabditis elegans,N2,10 µM,14,,,,26141518
Matairesinol,Caenorhabditis elegans,N2,100 µM,25,,,,26141518
Nitrendipine,Caenorhabditis elegans,,88 µM,25,,,,24134630
Oxaloacetate,Mus musculus,UM-HET3,2200 mg/Kg of food,2.7,,Female,NS,22451473
Oxaloacetate,Mus musculus,UM-HET3,2200 mg/Kg of food,4.2,,Male,NS,22451473
Oxaloacetate,Caenorhabditis elegans,N2,8 mM,25,13,,,19793063
Oxatomide,Caenorhabditis elegans,,88 µM,25,,,,24134630
Simvastatin,Drosophila melanogaster,,240 µM,25,,,,22737247
Vitamin E,Caenorhabditis elegans,N2,400 µg/ml,4,,,,3374177
Vitamin E,Caenorhabditis elegans,N2,100 µg/ml,9,,,,3374177
Vitamin E,Caenorhabditis elegans,N2,200 µg/ml,22,,,,3374177
Vitamin E,Caenorhabditis elegans,N2,200 µg/ml,17,,,,3374177
Vitamin E,Caenorhabditis elegans,N2,200 µg/ml,17,,,,3374177
Vitamin E,Caenorhabditis elegans,N2,200 µg/ml,23,,,,3374177
Vitamin E,Asplanchna brightwelli,,25 µg/mL,21,,,,6479253
Vitamin E,Philodina,,concentration of 10^ -4,9.2,0,,,7428854
Vitamin E,Drosophila melanogaster,Oregon R,0.4% wt/vol,14,,,,6821144
Vitamin E,Paramecium tetraurelia,,25 mg/L,11.7,17.1,,,9406982
Vitamin E,Caenorhabditis elegans,N2,80 ug/ml,2.9,,,,10843344
Vitamin E,Caenorhabditis elegans,N2,400 µg/ml,11,,,,14706236
Vitamin E,Asplanchna brightwelli,clone 4B61,3 mM,16.4,6.7,,,15374519
Vitamin E,Asplanchna brightwelli,clone 4B61,3 mM,24.5,,,,15374519
Vitamin E,Caenorhabditis elegans,N2,200 µg/mL,20.6,0,,,17169403
Vitamin E,Caenorhabditis elegans,N2,20 µg/mL,16.6,0,,,17169403
Vitamin E,Drosophila melanogaster,Canton S,100 µg/ml,2,,Female,,17169403
Vitamin E,Mus musculus,C57BL/6J,550 mg/kg,15,,,,18257658
Alpha-lipoic acid,Drosophila melanogaster,Canton S,5E-05,12,5,Female,,15328413
Alpha-lipoic acid,Caenorhabditis elegans,N2,24 µM,24.2,14.3,,,17156833
Alpha-lipoic acid,Rattus norvegicus,BN/SsNOlaHSD,1.5 g/kg,0,,Male,NS,18486188
Alpha-lipoic acid,Caenorhabditis elegans,N2,1 mM,21,0,,,18755260
Dihydroergotamine methanesulfonate,Caenorhabditis elegans,,88 µM,24,,,,24134630
SP600125,Drosophila melanogaster,Oregon R,10 mM,23.5,,,,22363408
"3,4-dihydroxybenzaldehyde",Drosophila melanogaster,yw (y1w67c23),0.3 mM,13,,Female,,22809229
"3,4-dihydroxybenzaldehyde",Drosophila melanogaster,yw (y1w67c23),3 mM,13,,Female,,22809229
"3,4-dihydroxybenzaldehyde",Drosophila melanogaster,yw (y1w67c23),1 mM,23,,Female,,22809229
Acetic Acid,Caenorhabditis elegans,N2,50 ppm,23,,,,19837596
Cyproterone acetate,Caenorhabditis elegans,,33 µM,23,,,,24134630
Metergoline,Caenorhabditis elegans,,33 µM,23,,,,24134630
Nicardipine hydrochloride,Caenorhabditis elegans,,176 µM,23,,,,24134630
